time,cell_id,bottom_x,bottom_y,top_x,top_y
1,1,635.4286270871864,897.5063350330357,635.4399899308536,907.5021984073029
2,1,635.4293429431787,897.5002631557018,635.456755548412,907.4944013433794
3,1,635.4329071246482,897.4956883768019,635.4709272767001,907.4866826849142
4,1,635.4350856554455,897.487707860814,635.4818814732332,907.4800431811916
5,1,635.4303760389573,897.4885640344049,635.4925232159246,907.4795230338589
6,1,635.4220654285965,897.491799089482,635.4965219653545,907.4818298545702
7,1,635.4047339494633,897.4969443079323,635.5018072155036,907.4832255423152
8,1,635.3834414560766,897.4954284213261,635.5160047022275,907.4871683646179
9,1,635.3659166904489,897.499628646985,635.5235687140133,907.4851564888603
10,1,635.3430149369249,897.4930116961707,635.5261604146388,907.4821711871957
11,1,635.3194697378159,897.4906963519969,635.5334258881093,907.4732292768983
12,1,635.2898680484681,897.4948127025266,635.5364432665278,907.470080664259
13,1,635.2571595121541,897.490173537353,635.5353924714146,907.4666039125734
14,1,635.224654598726,897.4852943738458,635.5332279409785,907.4622692229333
15,1,635.1910484133152,897.4764263344165,635.536631411934,907.4557673488334
16,1,635.1553290854266,897.4706353888686,635.5444420046884,907.4469750997262
17,1,635.1227098282285,897.4620048391093,635.5576311712255,907.4373355619786
18,1,635.0893132951672,897.4494974242684,635.5754397137501,907.4248827022122
19,1,635.0572222033339,897.4379611397445,635.5953098863303,907.4070845975983
20,1,635.0275155254327,897.4200123551316,635.6185161706691,907.3911061885831
21,1,634.9947730225811,897.407435888479,635.6401509625854,907.3720244364504
22,1,634.9642977429863,897.3929118160966,635.661955402907,907.3578880155737
23,1,634.9340762673081,897.3802824466422,635.678077183789,907.3470155869064
24,1,634.9039311486154,897.370009197022,635.6924126002059,907.3378162622859
25,1,634.8765644086426,897.3586529517039,635.7088590291191,907.3218821849997
26,1,634.8413532539575,897.3413919005935,635.731877529631,907.3032621816769
27,1,634.8056507158329,897.324761258993,635.7495143451687,907.2776599114507
28,1,634.7715223070187,897.3107872490276,635.7695416340044,907.2516656534982
29,1,634.7373707269693,897.2907014043712,635.7927906419839,907.238939341211
30,1,634.7086006669412,897.2759920092542,635.8094971171157,907.2183424428788
31,1,634.6824486132006,897.258527532328,635.8319747401687,907.196388967048
32,1,634.6503948512692,897.2338793294754,635.8568109686582,907.1724070959356
33,1,634.6146919869221,897.2171054331536,635.8901240274894,907.1509639211049
34,1,634.5864810767159,897.2012202068979,635.9199579176114,907.130342924156
35,1,634.5557531858842,897.1862486744058,635.9513603353156,907.1083563802736
36,1,634.5370425246091,897.1740427469643,635.9927488601625,907.0850456403848
37,1,634.5175852300898,897.1567877795542,636.0239149545608,907.0565566969494
38,1,634.5094722043171,897.1451374942701,636.059685903817,907.0245543655399
39,1,634.4954743498529,897.1381319549547,636.0965315859112,906.997714595321
40,1,634.4767865179641,897.1279437087395,636.1396612880128,906.9730222319392
41,1,634.4540377545189,897.1239456956545,636.1837198304594,906.9478384262354
42,1,634.4271831495956,897.1106483600706,636.2321152025943,906.9266076105022
43,1,634.4054861326828,897.1069101855833,636.2746166951215,906.9005451500151
44,1,634.3842655075987,897.1001435448179,636.3170845705143,906.8810078782028
45,1,634.3627023317866,897.0993929976214,636.3611995713255,906.8517149677662
46,1,634.3373557587598,897.0868920411372,636.4046355709878,906.8235420187502
47,1,634.3119716586374,897.0821449744742,636.453170121019,906.7964872674587
48,1,634.293228698512,897.083647067411,636.4970139169684,906.7745908430999
49,1,634.273609115312,897.0856930385528,636.5391007963923,906.7477910129281
50,1,634.2546288198828,897.0840592936456,636.581578479354,906.7281954403717
51,1,634.2337036480922,897.0811822462766,636.6200095736016,906.7105585600215
52,1,634.20561390448,897.0762149925522,636.6527024861273,906.695225863761
53,1,634.1768283237233,897.0728966907561,636.6882024338915,906.6812195357553
54,1,634.1442597988402,897.06453347719,636.7271017043768,906.6736965656827
55,1,634.1146100449989,897.068363645852,636.7674877955744,906.6558995889367
56,1,634.0878390829865,897.0727818915976,636.8096097421309,906.638564301172
57,1,634.0636099028591,897.0737235197126,636.8553478103925,906.6232004837468
58,1,634.0361952535337,897.071934073657,636.9008467473484,906.6084678437328
59,1,634.0021065431494,897.0678664436068,636.935742984924,906.5967098288904
60,1,633.9688080016685,897.0684387998227,636.9703484452942,906.570599712345
61,1,633.9402476232425,897.0674796910953,637.0102697065962,906.5442380021204
62,1,633.912347380531,897.0638668121595,637.0508454531998,906.5169972980669
63,1,633.8754967782804,897.053932941947,637.0826150560566,906.4862507533124
64,1,633.8351472631996,897.0461590682921,637.1092468960801,906.452677136326
65,1,633.7962184352355,897.0449689054399,637.141653049835,906.4264419332247
66,1,633.7651042832131,897.0449595926729,637.175320521775,906.4021750459682
67,1,633.7409747509541,897.0526991577973,637.2013964907363,906.3680690720167
68,1,633.7161772127201,897.051221122571,637.2250300893875,906.3431941721241
69,1,633.6942855452555,897.0453675834813,637.2578969923791,906.3204605335336
70,1,633.6677796639905,897.0351039299951,637.2787275565104,906.2971717711563
71,1,633.6435699358192,897.0232641972779,637.2946526730693,906.2794897310052
72,1,633.6205035131844,897.0186372938323,637.3090373959607,906.2541064708402
73,1,633.5918389666562,897.0155711309517,637.3213042118036,906.2318849872822
74,1,633.5672359472538,897.0147560601894,637.3319180515642,906.2098459281102
75,1,633.5456244604434,897.0070511518243,637.3510619230532,906.1951619172711
76,1,633.5243168096528,896.9970115245211,637.3594703752714,906.1736931829505
77,1,633.5053182072082,896.9904051081446,637.3625262732912,906.1487281137372
78,1,633.483257544785,896.9777174138395,637.3666583029465,906.127883296052
79,1,633.4540517321774,896.9611679023587,637.3823694760113,906.1087160844594
80,1,633.4228426901793,896.9545895371241,637.3906577990252,906.0854194699841
81,1,633.3914974746293,896.948810948767,637.411691525476,906.0633518132012
82,1,633.3624426134843,896.9423439314772,637.4290920906992,906.0348974601729
83,1,633.3299772814264,896.9407304788505,637.4470231175326,906.0076547368527
84,1,633.2937072400655,896.9392590451617,637.4762900948285,905.9710880315241
85,1,633.252180551552,896.9345440286024,637.5054193586293,905.9398430939441
86,1,633.2099440938847,896.9204982570715,637.5322416094583,905.9032400166395
87,1,633.1698796433532,896.9145562433611,637.5603327396198,905.8627219360893
88,1,633.1317250698813,896.9145020469098,637.5914048355033,905.8187721155115
89,1,633.0938803463009,896.9092298023636,637.6317360109083,905.7826829845627
90,1,633.0472878537288,896.908253571686,637.6775970297983,905.7440301781646
91,1,633.0014395458231,896.9176281755742,637.7116140341931,905.7014202417333
92,1,632.9554255173375,896.9125059050638,637.7403518550337,905.6636660017924
93,1,632.9175824828878,896.9165732929399,637.7734138144017,905.6156103750027
94,1,632.8743081967453,896.9162888507334,637.8055476451924,905.5740047954989
95,1,632.8246489436899,896.9155398358682,637.8401985191381,905.5320878477202
96,1,632.7768612441467,896.9139920319835,637.8699697707209,905.4821424067025
97,1,632.7387712161633,896.9126753393112,637.90342238486,905.431581405419
98,1,632.6984413855976,896.9063585291575,637.9407390540476,905.3792948841406
99,1,632.6508322079627,896.8943318337251,637.9725345520775,905.3278524328888
100,1,632.6043377819802,896.8892806252697,638.0030918551,905.2693529204626
101,1,632.5685168113052,896.8788070843062,638.0408516493947,905.2067678084663
102,1,632.5265093865672,896.8681358920361,638.0822983558303,905.1419807451907
103,1,632.4917817165508,896.8604455237243,638.1222977779718,905.0818459178622
104,1,632.4535917202779,896.8553094696746,638.170184764425,905.0260240688566
105,1,632.4136232644983,896.8526305059787,638.218378072225,904.9660527877986
106,1,632.3835633739449,896.8474578953496,638.2620370699386,904.9029207097186
107,1,632.3497424066289,896.8395752275393,638.3007085477861,904.8399412451439
108,1,632.3196422327779,896.8221150928299,638.3319408541394,904.7809581863468
109,1,632.2934872915084,896.8062635602788,638.3630642800443,904.7226226266844
110,1,632.2620720342449,896.7926184433196,638.3921041000721,904.6594523230501
111,1,632.2297085765415,896.7856002084392,638.4192263135363,904.6010423919514
112,1,632.191756657514,896.7789269794691,638.4411605956154,904.5435503920882
113,1,632.1452717348814,896.7710229036588,638.4590763259841,904.4891248751219
114,1,632.0967922963102,896.7593404903467,638.4797493119838,904.4307039917752
115,1,632.0503293282212,896.7516297861823,638.5007839126301,904.3598185048611
116,1,632.0008604415076,896.7465929714342,638.5280382691243,904.2930848073042
117,1,631.9499858705856,896.7416976451461,638.5570825948508,904.2256084339792
118,1,631.8932312513095,896.7357145659898,638.5874808472591,904.1537185908327
119,1,631.8432194817104,896.7353384331061,638.616357125461,904.0730229190623
120,1,631.7871144660755,896.734034919842,638.6418540320789,903.9894021796225
121,1,631.7239434320485,896.7362102926212,638.6645970427064,903.9151468943264
122,1,631.6606608263277,896.7438234557509,638.6841149103205,903.8319736823753
123,1,631.5834413714273,896.7484789246034,638.6993998085401,903.750787355296
124,1,631.5018848772506,896.7531384454976,638.7195083624543,903.6729391298703
125,1,631.429628400963,896.7642026790238,638.7345987099245,903.5919743555494
126,1,631.3609699716866,896.7711054373466,638.7509686652236,903.501416518159
127,1,631.2888717411349,896.7823850107097,638.7683634671705,903.4094442565071
128,1,631.2137114386329,896.7949762022708,638.7937041637086,903.3206953460543
